日期,负载电量kWh,光伏电量kWh,负载峰值kW,光伏峰值kW,平均电价元每kWh,光伏负载比
2025-12-05,78868.0711,37556.4434,4581.6900,6444.4500,0.7172,0.4762
2025-12-06,79470.8212,35806.1903,4482.8311,5964.1088,0.7272,0.4506
2025-12-07,125067.4629,37414.7817,7380.5350,6349.0500,0.9101,0.2992
2025-12-08,124410.3539,36563.1428,7298.9400,6129.5297,0.9085,0.2939
2025-12-09,124694.6811,37306.2268,7465.4925,6293.1158,0.9058,0.2992
2025-12-10,124378.7645,35991.1460,7401.4300,6068.7277,0.9162,0.2894
2025-12-11,123787.7990,37826.5443,7348.2190,6209.0250,0.8976,0.3056
2025-12-12,78661.7037,34947.2902,4615.7096,5522.8875,0.7238,0.4443
2025-12-13,78840.1576,35041.6242,4458.3065,5924.8154,0.7297,0.4445
2025-12-14,124522.5858,35743.8640,7265.2800,5857.5414,0.9207,0.2870
2025-12-15,124305.2255,34835.6675,7451.2952,5629.0906,0.9144,0.2802
2025-12-16,124646.9434,35228.8521,7422.2244,5642.3456,0.9109,0.2826
2025-12-17,124466.5547,36274.7076,7383.4703,5814.9221,0.9088,0.2914
2025-12-18,124315.3593,36949.0923,7394.7975,6579.7500,0.9095,0.2972
2025-12-19,78593.3254,35684.9341,4435.8367,5932.9542,0.7251,0.4540
2025-12-20,78668.5201,35812.1679,4479.9400,6127.4625,0.7190,0.4552
2025-12-21,124376.4410,35338.6591,7367.0100,5904.8948,0.9101,0.2841
2025-12-22,124718.4538,35781.0267,7210.5447,5910.7711,0.9193,0.2869
2025-12-23,123956.6546,36698.5620,7329.1752,6141.8029,0.9127,0.2961
2025-12-24,123954.3713,36099.8120,7368.5100,6432.1037,0.9083,0.2912
2025-12-25,123789.8579,35977.4094,7177.4300,5734.0684,0.9103,0.2906
2025-12-26,78270.3077,35262.6852,4468.0200,6365.1129,0.7238,0.4505
2025-12-27,78409.1839,35070.3749,4440.4113,5945.0707,0.7212,0.4473
2025-12-28,123511.2697,36702.0150,7347.2611,5980.1479,0.9059,0.2972
2025-12-29,123677.3064,36153.5401,7192.2330,5680.1489,0.9065,0.2923
2025-12-30,123526.5090,37302.1064,7326.7400,6382.7651,0.9005,0.3020
2025-12-31,123791.7051,35145.2821,7419.2944,5763.3651,0.9102,0.2839
